[09-Dec-2021 17:47:15 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php:21) in /home/organ142/public_html/smilesbysimon.com/wp-includes/pluggable.php on line 1343
[09-Dec-2021 17:49:13 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:49:13 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:49:13 UTC] PHP Warning:  session_start(): Cannot start session when headers already sent in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/includes/hooks.php on line 259
[09-Dec-2021 17:49:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php:21) in /home/organ142/public_html/smilesbysimon.com/wp-includes/pluggable.php on line 1340
[09-Dec-2021 17:49:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php:21) in /home/organ142/public_html/smilesbysimon.com/wp-includes/pluggable.php on line 1343
[09-Dec-2021 17:49:29 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:49:29 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:49:29 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Parser.php on line 955
[09-Dec-2021 17:49:29 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-includes/class-wp-fatal-error-handler.php on line 72
[09-Dec-2021 17:49:32 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:49:32 UTC] PHP Warning:  Declaration of WP_CLI\Core\CoreUpgrader::download_package($package, $check_signatures = true) should be compatible with WP_Upgrader::download_package($package, $check_signatures = false, $hook_extra = Array) in phar:///usr/local/bin/wp-cli.phar/vendor/wp-cli/core-command/src/WP_CLI/Core/CoreUpgrader.php on line 163
[09-Dec-2021 17:49:58 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:49:58 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:49:58 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Parser.php on line 1484
[09-Dec-2021 17:49:58 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-includes/class-wp-fatal-error-handler.php on line 72
